CLIN,PartNO,Description,Price
15S-322,SP200GAE-EL-PRM,Premier AE Support for Elemental Live,"$15,990.00"
15S-497,SP200GAE-ES-PRM,Premier AE Support for Elemental Server,"$5,390.00"
15S-833,SP200-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$157.41
15S-834,SP200-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$196.77
15S-835,SP200-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$118.06
15S-49,STFA202AE,"File-based packaging to Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, and MPEG DASH. Platform: 1RU, 12 CPU cores, 500 GB HDD, dual power supplies, 6 GigE ports, 4 10-GigE optical ports","$61,531.39"
15S-836,STFA202AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$13,372.31"
15S-837,STFA202AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$16,715.39"
15S-838,STFA202AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$10,029.23"
15S-50,STFA203AE,"File-based packaging to Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, and MPEG DASH. Platform: 1RU, 12 CPU cores, 500 GB HDD, dual power supplies, 14 GigE ports","$54,288.14"
15S-839,STFA203AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$11,798.17"
15S-840,STFA203AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$14,747.72"
15S-841,STFA203AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$8,848.63"
15S-51,STFA204AE,"File-based packaging to Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, and MPEG DASH. Platform: 1RU, 12 CPU cores, 500 GB HDD, dual power supplies, 10 GigE ports, 2 10-GigE optical ports","$57,909.77"
15S-842,STFA204AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$12,585.24"
15S-843,STFA204AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$15,731.55"
15S-844,STFA204AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$9,438.93"
15S-52,STFA205AE,"File-based packaging to Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, and MPEG DASH. Platform: 1RU, 12 CPU cores, 500 GB HDD, dual power supplies, 6 GigE ports, 4 10-GigE RJ45 ports","$61,531.39"
15S-845,STFA205AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$13,372.31"
15S-846,STFA205AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$16,715.39"
15S-847,STFA205AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$10,029.23"
15S-53,STFA220SE,"File-based packaging to Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, and MPEG DASH. Platform: None (software only)","$47,044.90"
15S-848,STFA220SE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$10,224.03"
15S-849,STFA220SE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$12,780.04"
15S-850,STFA220SE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$7,668.03"
15S-54,STLA202AE,"Live packaging to Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, and MPEG DASH. Platform: 1RU, 12 CPU cores, 16 GB RAM, 500 GB HDD, dual power supplies, 6 GigE ports, 4 10-GigE optical ports. Capacity: 100 multi-bitrate channels or 1000 inputs","$61,531.39"
15S-851,STLA202AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$13,372.31"
15S-852,STLA202AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$16,715.39"
15S-853,STLA202AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$10,029.23"
15S-55,STLA203AE,"Live packaging to Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, and MPEG DASH. Platform: 1RU, 12 CPU cores, 16 GB RAM, 500 GB HDD, dual power supplies, 14 GigE ports. Capacity: 100 multi-bitrate channels or 1000 inputs","$54,288.14"
15S-854,STLA203AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$11,798.17"
15S-855,STLA203AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$14,747.72"
15S-856,STLA203AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$8,848.63"
15S-56,STLA204AE,"Live packaging to Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, and MPEG DASH. Platform: 1RU, 12 CPU cores, 16 GB RAM, 500 GB HDD, dual power supplies, 10 GigE ports, 2 10-GigE optical ports. Capacity: 100 multi-bitrate channels or 1000 input","$57,909.77"
15S-857,STLA204AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$12,585.24"
15S-858,STLA204AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$15,731.55"
15S-859,STLA204AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$9,438.93"
15S-57,STLA205AE,"Live packaging to Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, and MPEG DASH. Platform: 1RU, 12 CPU cores, 16 GB RAM, 500 GB HDD, dual power supplies, 6 GigE ports, 4 10-GigE optical ports. Capacity: 100 multi-bitrate channels or 1000 inputs","$62,255.72"
15S-860,STLA205AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$13,529.73"
15S-861,STLA205AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$16,912.16"
15S-862,STLA205AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$10,147.29"
15S-58,STLA220SE,"Live packaging to Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, and MPEG DASH. Platform: None (software only). Capacity: 100 multi-bitrate channels or 1000 inputs","$47,044.90"
15S-863,STLA220SE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$10,224.03"
15S-864,STLA220SE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$12,780.04"
15S-865,STLA220SE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$7,668.03"
15S-59,STLB202AE,"Live packaging to Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, and MPEG DASH. Platform: 1RU, 12 CPU cores, 16 GB RAM, 500 GB HDD, dual power supplies, 6 GigE ports, 4 10-GigE optical ports. Capacity: 20 multi-bitrate channels or 200 inputs","$32,558.40"
15S-866,STLB202AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$7,075.76"
15S-867,STLB202AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$8,844.69"
15S-868,STLB202AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$5,306.82"
15S-60,STLB203AE,"Live packaging to Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, and MPEG DASH. Platform: 1RU, 12 CPU cores, 16 GB RAM, 500 GB HDD, dual power supplies, 14 GigE ports. Capacity: 20 multi-bitrate channels or 200 inputs","$25,315.15"
15S-869,STLB203AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$5,501.62"
15S-870,STLB203AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$6,877.02"
15S-871,STLB203AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$4,126.21"
15S-61,STLB204AE,"Live packaging to Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, and MPEG DASH. Platform: 1RU, 12 CPU cores, 16 GB RAM, 500 GB HDD, dual power supplies, 10 GigE ports, 2 10-GigE optical ports. Capacity: 20 multi-bitrate channels or 200 inputs","$28,936.77"
15S-872,STLB204AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$6,288.69"
15S-873,STLB204AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$7,860.86"
15S-874,STLB204AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$4,716.51"
15S-62,STLB205AE,"Live packaging to Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, and MPEG DASH. Platform: 1RU, 12 CPU cores, 16 GB RAM, 500 GB HDD, dual power supplies, 6 GigE ports, 4 10-GigE optical ports. Capacity: 20 multi-bitrate channels or 200 inputs","$32,558.40"
15S-875,STLB205AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$7,075.76"
15S-876,STLB205AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$8,844.69"
15S-877,STLB205AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$5,306.82"
15S-108,SUP24AE,"SW: License for 4xx level Elemental Server software providing load balancing, system configuration and capabilities for up to 4 GPU chips. Requires 4xx level Support and maintenance contract and Systems Engineering ONSITE to be purchased.HW: GPU upgrade","$14,450.28"
15S-878,SUP24AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$3,140.41"
15S-879,SUP24AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$3,925.51"
15S-880,SUP24AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$2,355.31"

